STATE,STATE NAME,STATE OF REOPENING,NEW GATING SCORE,GATING SCORE COLOR,GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,Rt**,SCORE,NORMALIZED,PROGRESS ON INTERVENTIONS,GRADE,CURVE,CURVED GRADE,TOTAL TESTS,% OF TESTING TARGET*,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,TOTAL DEATHS,MISSING ACTIONS,INFLUENZA-LIKE ILLNESS,GATING-CRITERIA-ILI,TEST CAPACITY (7-DAY AVG),TESTS-T-14,TESTS-T-13,TESTS-T-12,TESTS-T-11,TESTS-T-10,TESTS-T-09,TESTS-T-08,TESTS-T-07,TESTS-T-06,TESTS-T-05,TESTS-T-04,TESTS-T-03,TESTS-T-02,TESTS-T-01,TESTS-T-0,% OF TEST TARGET,% OF TARGET (US: 4M/DAY),GATING CRITERIA TESTS,% POSITIVE (7-DAY AVG),POSITIVITY IS,CASE-DOUBLING-DAYS,POSITIVITY-13,POSITIVITY-12,POSITIVITY-11,POSITIVITY-10,POSITIVITY-09,POSITIVITY-08,POSITIVITY-07,POSITIVITY-06,POSITIVITY-05,POSITIVITY-04,POSITIVITY-03,POSITIVITY-02,POSITIVITY-01,POSITIVITY-00,POSITIVITY,POSITIVITY-GRADE,% OF ICU,ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR,COVID+ RATE IS
Massachusetts,Massachusetts ??,N/A,Yellow,Yellow,1,Flat,-3% ^Flat^,-3%,129,93,60,60%,D,85,B,946334,83%,111398,357,323,310,295,285,285,251,227,220,208,217,222,209,202,203,215,229,223,206,219,214,223,199,187,196,208,208,223,212,223,8310,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Increase your state's testing throughput. Require masks to be worn in public spaces.,Minimal ^Level 1^,Green,8652,8772,8925,8889,8643,9052,8686,9099,8489,7984,8161,8374,8223,8500,8691,8652,83%,10%,Yellow,2.90%,2.6% ^Flat^,344,2.57%,2.50%,2.39%,2.42%,2.47%,2.45%,2.35%,2.34%,2.40%,2.48%,2.53%,2.62%,2.44%,2.58%,2.58%,Yellow,64,64% ^Normal^,Normal,75% ^Elevated^,Elevated,0.8 - 1.2,344,29,32,23,20,24,19,19,18,15,23,23,19,21,20,32,Green,82,108,110,105,109,98,94,92,92,87,89,95,91,91,82,-24% ^Decreasing^,Green,7.46%,Red,2.6% ^Flat^
Michigan,Michigan ??,N/A,Yellow,Red,2,Increasing,70% ^Increasing^,70%,140,97,63,63%,D,89,B,1274122,137%,76370,122,132,155,140,157,188,193,204,244,237,267,275,294,313,319,305,319,324,362,362,384,407,415,428,435,453,495,484,501,541,6313,Improve COVID case information being reported on state website. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,20567,15170,15608,15908,16627,16722,17471,18080,18476,18591,18570,18779,19735,19774,19791,20567,137%,17%,Green,3.00%,2.6% ^Increasing^,95,2.05%,2.03%,2.17%,2.16%,2.20%,2.25%,2.24%,2.30%,2.34%,2.41%,2.51%,2.45%,2.53%,2.63%,2.63%,Yellow,70,70% ^Elevated^,Elevated,69% ^Normal^,Normal,0.9 - 1.4,95,10,9,12,12,11,12,9,9,9,8,9,8,10,14,54,Yellow,51,56,56,47,47,55,55,55,55,51,51,51,51,51,51,-9% ^Decreasing^,Green,8.27%,Red,2.6% ^Increasing^
Minnesota,Minnesota,N/A,Red,Red,2,Increasing,50% ^Increasing^,50%,135,99,64,64%,D,91,A,742095,163%,41571,254,230,212,180,145,157,180,224,286,350,362,370,352,350,369,367,376,376,405,422,441,430,370,370,387,404,410,422,449,564,1537,Improve COVID case information being reported on state website. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces.,Minimal ^Level 1^,Green,13846,10981,11579,11403,12182,12495,12533,12556,10895,12657,12391,11419,10838,10716,11522,13846,163%,20%,Green,4.30%,4.1% ^Increasing^,49,3.24%,3.30%,3.32%,3.38%,3.52%,3.42%,3.40%,2.92%,3.12%,3.54%,3.79%,3.94%,3.90%,4.07%,4.07%,Yellow,64,64% ^Normal^,Normal,63% ^Normal^,Normal,0.9 - 1.5,49,7,8,7,7,8,8,7,7,6,5,6,5,4,5,100,Red,43,51,49,48,46,49,48,48,45,46,47,47,45,40,43,-16% ^Decreasing^,Green,3.70%,Yellow,4.1% ^Increasing^
Mississippi,Mississippi,N/A,Bruised Red,Red,3,Decreasing,-10% ^Decreasing^,-10%,130,81,53,53%,F,74,C,334343,81%,35419,333,368,321,290,341,308,308,221,185,161,355,392,398,554,632,699,750,611,621,639,608,529,735,715,670,710,713,689,836,678,1230,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Restrict or quarantine travelers from locations with community transmission. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,3621,5515,5925,4325,4812,4584,4720,3878,4656,4279,4452,4014,3128,3812,4599,3621,81%,10%,Yellow,23.00%,18.7% ^Increasing^,34,12.66%,14.14%,12.91%,13.95%,12.87%,13.65%,15.78%,16.72%,15.05%,17.68%,22.78%,18.07%,18.18%,18.72%,18.72%,Bruised Red,66,66% ^Normal^,Normal,64% ^Normal^,Normal,0.9 - 1.4,34,14,12,12,10,11,10,10,10,8,12,15,16,18,18,228,Bruised Red,324,227,242,262,264,290,290,293,293,277,297,297,316,330,324,42% ^Increasing^,Red,3.47%,Yellow,18.7% ^Increasing^
Missouri,Missouri,N/A,Red,Red,2,Increasing,52% ^Increasing^,52%,134,82,53,53%,F,75,C,474550,96%,27133,190,195,180,208,214,205,217,231,254,313,279,247,320,359,388,382,367,414,487,437,409,417,422,409,402,440,468,531,453,560,1069,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,8898,6311,6574,7147,7948,8959,7953,8049,8139,8334,8477,8906,7514,8215,7124,8898,96%,12%,Yellow,7.40%,6.3% ^Increasing^,31,5.59%,5.80%,6.13%,4.88%,5.14%,5.18%,5.19%,4.90%,4.74%,4.94%,6.23%,6.46%,6.36%,6.29%,6.29%,Yellow,61,61% ^Normal^,Normal,61% ^Normal^,Normal,0.8 - 1.3,31,6,5,8,6,6,5,4,4,4,4,4,4,4,6,91,Red,144,67,98,98,96,117,117,121,120,121,110,113,132,144,144,114% ^Increasing^,Red,3.94%,Yellow,6.3% ^Increasing^
Montana,Montana,N/A,Yellow,Red,2,Increasing,249% ^Increasing^,249%,130,107,69,69%,D,98,A,113359,128%,1677,5,7,8,9,9,10,13,13,16,17,19,18,19,21,23,22,21,26,32,36,40,43,45,50,47,51,51,55,66,73,29,Improve COVID case information being reported on state website. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,2058,1674,1731,2491,2420,2609,2402,2477,2529,2519,2026,2067,1870,1945,2096,2058,128%,16%,Green,4.20%,3.5% ^Increasing^,13,1.20%,1.03%,1.32%,1.37%,1.66%,1.72%,1.78%,1.98%,2.33%,2.49%,2.71%,2.81%,3.17%,3.54%,3.54%,Yellow,62,62% ^Normal^,Normal,54% ^Normal^,Normal,1.1 - 1.6,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,68,Yellow,22,10,12,11,13,13,16,19,19,19,21,21,22,20,22,118% ^Increasing^,Red,1.73%,Yellow,3.5% ^Increasing^
Nebraska,Nebraska,N/A,Red,Yellow,1,Flat,5% ^Flat^,5%,135,41,27,27%,F,38,F,203854,80%,20777,171,162,156,156,157,164,172,157,154,153,155,158,152,142,133,133,153,156,155,155,156,158,162,150,147,143,146,159,167,160,286,Improve COVID case information being reported on state website. Consider a more restrictive stay home policy. Require a statewide six-feet physical distancing policy. Consider a more restrictive gatherings policy. Close non-essential businesses. Restrict or quarantine travelers from locations with community transmission. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,2324,2392,2651,2681,2788,2758,2785,2733,2713,2447,2353,2131,2063,2168,2411,2324,80%,10%,Yellow,7.30%,6.9% ^Increasing^,88,5.76%,5.80%,5.56%,5.62%,5.59%,5.78%,5.98%,6.14%,6.25%,6.73%,7.09%,7.35%,6.94%,6.87%,6.87%,Yellow,52,52% ^Normal^,Normal,57% ^Normal^,Normal,0.9 - 1.3,88,3,3,3,3,3,3,3,2,2,2,1,1,0,0,82,Red,49,64,60,63,62,60,63,57,56,52,56,53,50,52,49,-23% ^Decreasing^,Green,1.38%,Yellow,6.9% ^Increasing^
Nevada,Nevada ??,N/A,Bruised Red,Red,3,Increasing,33% ^Increasing^,33%,131,82,53,53%,F,75,C,341233,123%,26838,202,212,218,213,233,240,240,258,284,290,322,334,360,398,393,487,565,623,637,677,696,783,748,751,716,761,743,739,741,752,592,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,5715,3438,3698,4136,4149,4530,4168,5003,5458,5731,5495,5568,5651,6436,5972,5715,123%,15%,Green,13.80%,13.2% ^Decreasing^,22,15.28%,15.06%,15.35%,14.95%,16.70%,15.64%,13.71%,13.11%,13.04%,13.67%,13.15%,11.48%,12.41%,13.16%,13.16%,Bruised Red,77,77% ^Elevated^,Elevated,77% ^Elevated^,Elevated,0.9 - 1.3,22,1,2,2,2,4,4,4,5,5,6,6,7,7,9,244,Bruised Red,298,166,180,193,205,215,229,243,247,243,276,284,304,300,298,80% ^Increasing^,Red,2.21%,Yellow,13.2% ^Decreasing^
New Hampshire,New Hampshire,N/A,Yellow,Yellow,1,Decreasing,-33% ^Decreasing^,-33%,134,78,51,51%,F,72,C,132302,60%,5991,48,33,40,43,38,33,37,34,34,31,28,30,30,23,32,26,28,31,29,30,29,22,27,20,20,22,21,21,22,19,390,Improve COVID case information being reported on state website. Require a statewide six-feet physical distancing policy. Consider a more restrictive gatherings policy. Restrict or quarantine travelers from locations with community transmission. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,1222,1314,1461,1348,1346,1302,1249,1060,1283,1091,991,1369,1335,1332,1266,1222,60%,7%,Yellow,1.60%,1.6% ^Decreasing^,214,1.95%,2.29%,2.14%,2.31%,2.33%,2.04%,2.07%,1.83%,1.97%,1.61%,1.61%,1.61%,1.70%,1.57%,1.57%,Green,46,46% ^Normal^,Normal,65% ^Normal^,Normal,0.7 - 1.2,214,4,4,4,4,4,1,2,1,2,2,2,2,2,2,14,Green,15,26,25,25,27,24,23,18,18,18,18,18,16,18,15,-43% ^Decreasing^,Green,6.51%,Red,1.6% ^Decreasing^
New Jersey,New Jersey ??,N/A,Green,Green,0,Decreasing,-6% ^Decreasing^,-6%,135,102,66,66%,D,94,A,1661284,163%,174959,404,387,388,372,376,337,327,333,318,323,330,330,313,298,298,291,291,265,276,291,309,308,309,317,334,316,302,269,269,275,15525,Improve COVID case information being reported on state website. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,21819,21197,20409,19512,19846,20470,20429,19833,20185,20972,20746,19680,19273,19358,19665,21819,163%,20%,Green,1.20%,1.3% ^Decreasing^,438,1.43%,1.36%,1.39%,1.42%,1.51%,1.55%,1.53%,1.51%,1.61%,1.60%,1.56%,1.39%,1.37%,1.26%,1.26%,Green,47,47% ^Normal^,Normal,66% ^Normal^,Normal,0.8 - 1.2,438,301,300,298,298,34,36,34,34,34,35,49,49,45,48,31,Green,98,114,110,112,122,116,116,111,103,97,102,105,108,102,98,-14% ^Decreasing^,Green,8.87%,Red,1.3% ^Decreasing^
New Mexico,New Mexico ??,N/A,Red,Red,2,Increasing,68% ^Increasing^,68%,131,109,71,71%,C,100,A+,403581,182%,14549,168,122,117,112,112,118,116,90,105,135,120,121,129,132,148,164,151,178,184,187,184,190,195,206,207,218,226,249,247,253,539,Improve COVID case information being reported on state website. Require masks to be worn in public spaces.,Minimal ^Level 1^,Green,5744,5148,4218,5374,5663,6014,5994,5995,6105,7047,6287,6074,5866,5661,5606,5744,182%,23%,Green,4.50%,4.4% ^Increasing^,37,3.57%,3.31%,3.25%,3.11%,3.07%,3.16%,3.20%,2.93%,3.29%,3.59%,3.85%,4.39%,4.41%,4.41%,4.41%,Yellow,56,56% ^Normal^,Normal,68% ^Normal^,Normal,0.9 - 1.4,37,3,3,3,3,3,3,3,3,3,3,3,4,4,4,121,Red,72,58,54,57,61,61,61,62,58,57,62,63,73,73,72,24% ^Increasing^,Red,3.70%,Yellow,4.4% ^Increasing^
New York,New York ??,N/A,Green,Green,0,Flat,-4% ^Flat^,-4%,137,97,63,63%,D,89,B,4610777,215%,401029,787,759,747,735,728,712,695,692,663,659,649,644,646,665,666,664,658,635,624,630,648,665,668,656,674,683,693,651,632,633,24974,Improve COVID case information being reported on state website. Require a statewide six-feet physical distancing policy. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,62913,60969,60167,58688,59161,59957,60286,60953,59401,59617,60745,61418,61543,60918,61941,62913,215%,27%,Green,1.10%,1.0% ^Decreasing^,437,1.09%,1.08%,1.05%,1.05%,1.08%,1.09%,1.12%,1.10%,1.11%,1.11%,1.13%,1.07%,1.02%,1.01%,1.01%,Green,55,55% ^Normal^,Normal,69% ^Normal^,Normal,0.8 - 1.2,437,16,15,13,12,11,10,9,10,10,10,11,12,12,11,33,Green,41,45,44,46,45,45,44,43,43,42,43,43,44,42,41,-8% ^Decreasing^,Green,6.23%,Red,1.0% ^Decreasing^
North Carolina,North Carolina ??,N/A,Bruised Red,Red,3,Increasing,30% ^Increasing^,30%,136,87,56,56%,F,80,B,1176058,143%,83793,1142,1150,1225,1231,1242,1241,1244,1227,1245,1240,1215,1229,1331,1285,1283,1307,1334,1411,1460,1477,1566,1632,1588,1549,1578,1601,1542,1601,1584,1734,1499,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,22537,17684,18019,18423,19458,21565,22835,23224,23309,23562,23649,23037,22063,21527,21617,22537,143%,18%,Green,8.20%,7.7% ^Flat^,31,7.41%,7.66%,7.50%,6.85%,6.86%,7.03%,6.81%,6.57%,6.67%,6.95%,6.99%,7.44%,7.33%,7.69%,7.69%,Red,64,64% ^Normal^,Normal,69% ^Normal^,Normal,0.8 - 1.2,31,15,15,13,15,15,13,12,11,10,11,10,10,12,15,165,Bruised Red,104,85,80,87,86,87,91,90,90,94,94,95,99,100,104,23% ^Increasing^,Red,1.79%,Yellow,7.7% ^Flat^
North Dakota,North Dakota,N/A,Red,Red,2,Increasing,124% ^Increasing^,124%,130,52,34,34%,F,48,F,120851,111%,4243,39,35,31,32,32,32,30,30,28,30,30,28,28,29,28,30,30,32,37,36,38,43,46,46,44,46,51,59,62,66,78,Improve COVID case information being reported on state website. Consider a more restrictive stay home policy. Require a statewide six-feet physical distancing policy. Consider a more restrictive gatherings policy. Close non-essential businesses. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,1275,1184,1107,1177,1224,1220,1250,1384,1344,1315,1127,1176,1230,1379,1289,1275,111%,14%,Green,6.20%,5.2% ^Increasing^,42,2.67%,2.74%,2.99%,2.96%,3.02%,3.11%,3.41%,3.49%,3.93%,3.91%,4.13%,4.28%,4.79%,5.20%,5.20%,Yellow,29,29% ^Normal^,Normal,48% ^Normal^,Normal,0.9 - 1.4,42,1,1,1,1,0,0,0,0,0,0,0,0,0,0,87,Red,41,31,33,33,26,25,26,29,29,29,31,34,39,43,41,29% ^Increasing^,Red,1.84%,Yellow,5.2% ^Increasing^
Ohio,Ohio,N/A,Red,Red,2,Increasing,46% ^Increasing^,46%,133,107,69,69%,D,98,A,983035,109%,64214,381,391,382,391,407,407,445,472,488,523,566,588,620,647,701,742,786,787,809,872,745,946,961,977,987,1016,1045,1209,1086,1147,3036,Improve COVID case information being reported on state website. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,19238,16411,16221,16397,16785,15903,13196,15229,14790,16000,15290,15508,17607,17771,18771,19238,109%,14%,Green,6.50%,6.0% ^Increasing^,36,4.84%,4.80%,4.82%,5.49%,5.64%,6.21%,6.50%,6.11%,6.46%,6.55%,5.94%,6.81%,5.78%,5.96%,5.96%,Yellow,47,47% ^Normal^,Normal,62% ^Normal^,Normal,0.9 - 1.3,36,15,16,18,17,15,16,15,15,16,15,16,19,18,18,98,Red,79,57,57,62,62,62,63,59,59,72,73,76,76,79,79,40% ^Increasing^,Red,4.73%,Yellow,6.0% ^Increasing^
Oklahoma,Oklahoma,N/A,Red,Red,2,Increasing,67% ^Increasing^,67%,132,65,42,42%,F,60,D,419816,133%,19779,134,153,154,173,183,203,247,265,281,326,331,340,372,371,377,372,354,348,390,372,370,389,429,419,456,495,540,565,575,591,421,Improve COVID case information being reported on state website. Consider a more restrictive stay home policy. Require a statewide six-feet physical distancing policy. Consider a more restrictive gatherings policy. Close restaurants except for takeout and delivery. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,7912,6243,6225,6219,6649,6862,6869,7582,5539,5529,5565,6774,6930,6958,6746,7912,133%,17%,Green,8.60%,7.5% ^Increasing^,21,5.69%,5.60%,5.86%,5.42%,5.39%,5.13%,7.75%,7.58%,8.19%,7.30%,7.79%,8.12%,8.53%,7.46%,7.46%,Red,62,62% ^Normal^,Normal,57% ^Normal^,Normal,0.9 - 1.4,21,2,2,2,2,3,3,2,2,2,2,3,2,3,3,149,Red,126,83,83,80,95,93,99,99,99,99,108,116,114,123,126,52% ^Increasing^,Red,2.13%,Yellow,7.5% ^Increasing^
Oregon,Oregon ??,N/A,Yellow,Red,2,Increasing,37% ^Increasing^,37%,135,90,58,58%,F,83,B,292183,84%,11851,115,125,118,128,159,165,161,171,174,186,180,168,175,172,178,192,201,200,197,212,247,260,262,270,273,278,269,271,260,274,232,Improve COVID case information being reported on state website. Close non-essential businesses. Restrict or quarantine travelers from locations with community transmission. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,5308,4790,3608,4072,3846,4193,4919,5409,3915,5190,4655,4896,4701,4432,4577,5308,84%,10%,Yellow,5.50%,5.2% ^Decreasing^,27,5.56%,4.92%,5.13%,5.07%,5.01%,4.80%,6.70%,5.20%,5.86%,5.69%,5.73%,6.11%,5.67%,5.17%,5.17%,Yellow,64,64% ^Normal^,Normal,67% ^Normal^,Normal,0.9 - 1.3,27,2,2,2,2,2,1,2,2,2,2,2,3,3,3,65,Yellow,49,35,36,35,46,41,41,41,41,43,45,45,46,49,49,40% ^Increasing^,Red,1.96%,Yellow,5.2% ^Decreasing^
Pennsylvania,Pennsylvania ??,N/A,Yellow,Red,2,Increasing,41% ^Increasing^,41%,135,95,62,62%,D,87,B,912323,72%,94689,428,394,369,365,347,336,329,395,401,419,438,459,482,505,515,443,538,543,559,579,615,624,715,623,617,670,701,685,734,759,6897,Improve COVID case information being reported on state website. Restrict or quarantine travelers from locations with community transmission. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,13929,10193,12177,12149,12155,12199,12210,12152,13677,11674,11491,12274,12817,12821,13499,13929,72%,9%,Yellow,6.30%,5.5% ^Increasing^,84,4.42%,4.47%,4.60%,4.74%,5.04%,5.14%,5.23%,5.33%,5.37%,5.46%,5.47%,5.34%,5.43%,5.45%,5.45%,Yellow,57,57% ^Normal^,Normal,69% ^Normal^,Normal,0.8 - 1.3,84,22,27,26,19,22,24,24,25,20,20,23,19,19,21,59,Yellow,50,51,50,50,49,49,47,46,46,47,50,51,51,51,50,0% ^Decreasing^,Green,7.28%,Red,5.5% ^Increasing^
Rhode Island,Rhode Island ??,N/A,Yellow,Yellow,1,Decreasing,-36% ^Decreasing^,-36%,137,93,60,60%,D,85,B,166655,71%,17312,72,69,67,71,69,61,59,56,54,53,51,54,54,51,52,52,51,48,43,45,47,40,39,39,42,42,33,30,36,33,976,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,1128,1369,1362,1320,1225,1285,1227,1128,1092,1206,1235,1312,1033,1151,1268,1128,71%,9%,Yellow,2.70%,2.9% ^Decreasing^,366,3.76%,3.64%,3.49%,3.48%,3.81%,3.54%,3.55%,3.23%,3.38%,3.19%,3.15%,2.58%,2.87%,2.89%,2.89%,Yellow,83,83% ^Constrained^,Constrained,82% ^Constrained^,Constrained,0.7 - 1.1,366,5,6,6,6,6,5,5,5,2,3,2,2,2,2,31,Green,58,86,69,70,65,63,58,58,58,58,52,53,52,58,58,-33% ^Decreasing^,Green,5.64%,Red,2.9% ^Decreasing^
South Carolina,South Carolina,N/A,Bruised Red,Red,3,Increasing,31% ^Increasing^,31%,135,97,63,63%,D,89,B,488090,124%,54699,531,577,644,654,680,685,730,780,833,843,903,946,1049,1068,1101,1165,1232,1278,1398,1432,1526,1600,1635,1647,1677,1565,1570,1570,1555,1616,951,Improve COVID case information being reported on state website. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 2^,Green,9628,7845,8162,9346,10189,10238,9720,10623,9933,10144,10079,9246,9138,8909,9458,9628,124%,16%,Green,17.30%,16.8% ^Increasing^,21,15.10%,13.67%,13.72%,13.98%,15.69%,15.06%,16.46%,16.23%,16.63%,16.92%,17.18%,17.62%,16.44%,16.79%,16.79%,Bruised Red,74,74% ^Elevated^,Elevated,75% ^Elevated^,Elevated,0.8 - 1.2,21,9,9,9,12,13,14,15,15,15,15,17,17,19,20,314,Bruised Red,271,185,200,198,225,219,223,231,243,245,257,273,278,279,271,46% ^Increasing^,Red,1.74%,Yellow,16.8% ^Increasing^
South Dakota,South Dakota,N/A,Red,Red,2,Increasing,11% ^Increasing^,11%,131,35,23,23%,F,32,F,89606,62%,7454,66,67,66,65,63,64,63,59,56,57,57,55,53,53,54,57,55,56,59,58,59,63,57,55,56,57,59,63,60,61,109,Improve COVID case information being reported on state website. Consider a more restrictive stay home policy. Require a statewide six-feet physical distancing policy. Consider a more restrictive gatherings policy. Close non-essential businesses. Close restaurants except for takeout and delivery. Restrict or quarantine travelers from locations with community transmission. Increase your state's testing throughput. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,825,884,838,875,872,838,870,854,819,730,692,754,755,767,793,825,62%,8%,Yellow,8.50%,7.4% ^Increasing^,82,6.55%,6.36%,6.74%,6.94%,6.80%,7.41%,7.02%,7.48%,8.03%,7.56%,7.87%,8.25%,7.62%,7.38%,7.38%,Red,55,55% ^Normal^,Normal,47% ^Normal^,Normal,0.9 - 1.3,82,1,1,1,1,1,1,1,1,1,1,1,1,1,2,69,Yellow,73,85,79,70,73,72,66,61,67,67,72,61,69,73,73,-13% ^Decreasing^,Green,1.46%,Yellow,7.4% ^Increasing^
Tennessee,Tennessee,N/A,Bruised Red,Red,3,Increasing,114% ^Increasing^,114%,134,82,53,53%,F,75,C,1007114,178%,61006,515,496,579,602,608,583,613,699,701,667,628,639,727,744,775,818,724,963,1029,1154,1265,1324,1424,1608,1408,1429,1524,1529,1548,1552,738,Improve COVID case information being reported on state website. Consider a more restrictive gatherings policy. Restrict or quarantine travelers from locations with community transmission. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,18359,10459,8989,11014,12530,14226,15844,17208,18579,21088,18202,18296,19010,19180,18869,18359,178%,22%,Green,9.60%,8.5% ^Flat^,25,8.06%,8.75%,8.22%,8.11%,7.99%,7.69%,7.66%,7.63%,7.74%,7.81%,8.02%,7.97%,8.20%,8.46%,8.46%,Red,74,74% ^Elevated^,Elevated,67% ^Normal^,Normal,0.8 - 1.2,25,8,9,9,8,8,8,8,9,9,9,11,13,13,14,227,Bruised Red,173,117,123,130,140,139,139,139,139,138,163,170,166,173,173,48% ^Increasing^,Red,1.21%,Yellow,8.5% ^Flat^
Texas,Texas ??,N/A,Bruised Red,Red,3,Increasing,58% ^Increasing^,58%,136,67,44,44%,F,61,D,2429624,117%,250462,1724,1780,1839,1927,2279,2368,2610,2804,3103,3392,3682,3881,4227,4581,4903,5091,5304,5447,5659,6020,6294,6558,6917,6644,6792,7228,7500,7767,8083,8382,3112,Improve COVID case information being reported on state website. Consider a more restrictive stay home policy. Consider a more restrictive gatherings policy. Close non-essential businesses. Require masks to be worn in public spaces. Provide insurance coverage for COVID-19 treatment.,Minimal ^Level 1^,Green,51116,37061,35577,38597,38856,41670,45209,45225,49855,51177,49220,50286,48109,48201,53698,51116,117%,15%,Green,19.50%,16.4% ^Increasing^,18,14.91%,14.11%,14.57%,14.45%,13.92%,14.50%,13.87%,12.98%,13.80%,14.37%,15.59%,16.11%,15.05%,16.40%,16.40%,Bruised Red,73,73% ^Elevated^,Elevated,70% ^Elevated^,Elevated,0.9 - 1.3,18,30,30,29,33,33,36,35,35,36,42,47,56,63,72,289,Bruised Red,348,190,204,225,238,255,264,272,282,300,320,331,334,345,348,83% ^Increasing^,Red,1.24%,Yellow,16.4% ^Increasing^
